HotelName,Location,Price,Rating,DistanceFromCenter,RoomType,OriginalPrice,PricePerNight,Discount
Best Western Premier M Four Hotel,Deira,473.0,7.9,8.9,Large Superior King Room - Non-Smoking,473.0,118.25,0.0
Stylish 2-Bedroom Apartment in Azizi Riviera-Dubai,Dubai,1869.0,7.9,4.6,Two-Bedroom Apartment,1869.0,467.25,0.0
Howard Johnson Plaza by Wyndham Dubai Deira,Deira,411.0,6.6,9.2,Deluxe King Room - Non-Smoking,447.0,102.75,8.05
Sky-high Downtown 1br Steps From Burj Khalifa,Downtown Dubai,1645.0,6.6,350.0,One-Bedroom Apartment,1645.0,411.25,0.0
Holiday Inn & Suites - Dubai Festival City by IHG,Dubai Festival City,998.0,8.7,9.2,Standard Waterfront View,1426.0,249.5,30.01
"Sheraton Grand Hotel, Dubai",Trade Centre,1178.0,8.8,4.1,"Deluxe Room, Guest room, King",1178.0,294.5,0.0
"Aloft Al Mina, Dubai Jumeirah",Bur Dubai,805.0,8.4,6.0,Aloft Room Guest Room with 1 King Bed - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off,805.0,201.25,0.0
Studio M Al Barsha Hotel by Millennium,Al Barsha,624.0,8.1,11.1,Urban King Room with 20% Discount on SPA,624.0,156.0,0.0
Fresh & Stylish 2br Living At Collective Tower 1,Dubai,1770.0,8.1,11.0,Two-Bedroom Apartment,2212.0,442.5,19.98
Four Points by Sheraton Bur Dubai,Bur Dubai,837.0,8.4,6.6,Classic King Room with complimentary shuttle service to Dubai Mall & Kite Beach,837.0,209.25,0.0
Media Rotana Dubai,Al Barsha,752.0,8.3,14.1,Guest Room – King Bed,752.0,188.0,0.0
DoubleTree by Hilton Dubai Al Jadaf,Bur Dubai,830.0,8.1,6.7,King Room,830.0,207.5,0.0
Sunday Sheikh Zayed Road Concord Tower by Belvilla,Beach & Coast,503.0,7.2,20.6,Standard Studio,899.0,125.75,44.05
"Skyline and Community Views 1BR with Private Balcony Near Community Park, Binghatti Amber, Jumeirah Village Circle by Deluxe Holiday Homes",Dubai,1090.0,7.2,16.1,One-Bedroom Apartment,1090.0,272.5,0.0
La Vista Holiday Home,Dubai,513.0,7.2,4.5,Studio Apartment,641.0,128.25,19.97
Hyatt Place Dubai Al Rigga,Deira,984.0,8.3,9.4,King Room with Sofa Bed,1231.0,246.0,20.06
"Modern Chic Studio Apartment, Belgravia Heights 2, JVC Dubai",Dubai,1521.0,8.3,16.7,Studio Apartment with Balcony,1521.0,380.25,0.0
"Andaz Dubai The Palm, By Hyatt",Palm Jumeirah,1454.0,8.9,16.0,King Room,1454.0,363.5,0.0
"City Vibe 1BR with Outdoor Space, Walking Distance to Burj Khalifa and Dubai Mall, Grande, Downtown Dubai by Deluxe Holiday Homes",Downtown Dubai,1781.0,8.9,150.0,One-Bedroom Apartment,1781.0,445.25,0.0
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",Bur Dubai,796.0,8.7,8.3,King Heritage Room,796.0,199.0,0.0
"Al Khoory Executive Hotel, Al Wasl",Beach & Coast,656.0,8.6,4.1,Superior Double or Twin Room,656.0,164.0,0.0
Hampton by Hilton Dubai Al Seef,Bur Dubai,584.0,8.1,7.8,King Room,584.0,146.0,0.0
Rove Dubai Marina,Dubai Marina,928.0,9.1,20.2,Rover Room - Free Shuttle Bus To The Beach & Mall,928.0,232.0,0.0
Hampton By Hilton Dubai Airport,Al Qusais,568.0,7.9,13.8,Queen Room - Non-Smoking,568.0,142.0,0.0
Copthorne Hotel Dubai,Deira,682.0,8.4,8.7,Superior King Room with City View,682.0,170.5,0.0
Cozy New Studio for rent At Azizi Riviera Dubai,Dubai,460.0,8.4,4.6,Studio with Balcony,575.0,115.0,20.0
SmartConceptLiving Studio with Burj Khalifa View in Downtown Dubai,Dubai,1259.0,8.4,400.0,One-Bedroom Apartment,1574.0,314.75,20.01
Marina View Deluxe Hotel Apartment,Dubai Marina,603.0,7.7,18.2,Deluxe Studio,603.0,150.75,0.0
Arjaan by Rotana - Dubai Media City,Dubai Media City,1028.0,8.2,16.3,City View Room,1028.0,257.0,0.0
Rove Healthcare City - Bur Dubai,Bur Dubai,574.0,9.1,6.0,Rover Room – Easy Access To Sheikh Zayed Road & Bur Dubai,574.0,143.5,0.0
NH Collection Dubai The Palm,Palm Jumeirah,1324.0,9.0,16.4,"Standard Room, Beach & Rooftop Infinity Pool Access, Kids Club Access",1324.0,331.0,0.0
ibis Styles Dubai Airport Hotel,Garhoud,450.0,7.7,9.5,King Room - DXB Free Airport Drop-Off T1&T3 every hour (24/7),450.0,112.5,0.0
"Rose Park Hotel - Al Barsha, Opposite Metro Station",Al Barsha,852.0,8.6,12.2,Deluxe King Room - Late check-out 2 pm,852.0,213.0,0.0
Mama Shelter Dubai,Business Bay,1126.0,8.7,1.7,Medium Mama Double Accessible (Free shuttle service to Dubai Mall & Kite Beach),1126.0,281.5,0.0
City Seasons Towers Hotel Bur Dubai,Bur Dubai,725.0,7.9,7.1,Premium King Room,853.0,181.25,15.01
Bnbeyond's Sassy Studio with Expansive Balcony,Dubai,937.0,7.9,23.4,One-Bedroom Apartment,1171.0,234.25,19.98
Hilton Garden Inn Dubai Deira,Deira,682.0,7.9,9.7,King Room - Mobility Accessible,682.0,170.5,0.0
Paramount Hotel Dubai,Business Bay,1277.0,8.6,2.2,Scene Room,1419.0,319.25,10.01
"Dukes The Palm, a Royal Hideaway Hotel",Palm Jumeirah,1406.0,8.7,16.4,Deluxe,1406.0,351.5,0.0
"Azizi Mina, Beachfront 1 bedroom, Sea View, Private Balcony",Palm Jumeirah,736.0,8.7,14.2,One-Bedroom Apartment,818.0,184.0,10.02
Dusit D2 Kenz Hotel Dubai,Barsha Heights (Tecom),981.0,9.0,14.7,Standard Double Room,1308.0,245.25,25.0
ibis Mall Avenue Dubai,Al Barsha,571.0,7.6,11.7,Standard Double Room,571.0,142.75,0.0
The First Collection Dubai Business Bay,Business Bay,1165.0,8.8,1.9,Deluxe Room,1792.0,291.25,34.99
