HotelName,Location,Price,Rating,DistanceFromCenter,RoomType,OriginalPrice,PricePerNight,Discount
Hilton Dubai Creek Hotel & Residences,Deira,1141.0,8.5,8.2,King Studio,1141.0,285.25,0.0
SIMPLY COMFORT in Sarai Palm Jumeirah,Palm Jumeirah,2987.0,8.3,14.9,One-Bedroom Apartment,3319.0,746.75,10.0
Stunning 1BHK Apt Harbor View,Dubai Creek,869.0,8.3,7.5,Deluxe One-Bedroom Apartment with Harbour View,869.0,217.25,0.0
2BR Marina View Luxury Apartment,Jumeirah Beach Residence,1176.0,8.4,19.7,Apartment,1176.0,294.0,0.0
Luxury-Designer 1 BR Sea View,Jumeirah Beach Residence,1931.0,9.2,18.0,One-Bedroom Apartment,1931.0,482.75,0.0
"Exquisite, luxe 1BD Apartment, Unparalleled Sea Views, Prime Dubai Marina Location & Full Kitchen by ""La Buena Vida Holiday Homes",Dubai Marina,1873.0,9.3,17.1,One-Bedroom Deluxe Apartment,1873.0,468.25,0.0
Al Khoory Sky Garden Hotel,Deira,780.0,8.5,9.3,Sky Classic Room,780.0,195.0,0.0
Knokey Luxury 1BR Apartments - 5 min walk to Burj Khalifa & Dubai Mall & Dubai Fountain,Downtown Dubai,1685.0,9.4,100.0,One-Bedroom Deluxe Apartment,1685.0,421.25,0.0
Luxury 1BR Burj Khalifa View Walk to Dubai Mal,Downtown Dubai,1748.0,8.2,300.0,One-Bedroom Apartment,1748.0,437.0,0.0
Luxury 4-Bed Escape in Downtown Dubai That Sleeps 9,Downtown Dubai,5739.0,9.5,350.0,Apartment,5739.0,1434.75,0.0
Swissôtel Al Ghurair Dubai - Deira & Creek,Deira,1174.0,8.3,9.3,Classic King Room,1174.0,293.5,0.0
Luxury 1-Bedroom Apartment with Burj Khalifa view,Downtown Dubai,1657.0,9.8,450.0,One-Bedroom Apartment,1657.0,414.25,0.0
Novotel World Trade Centre Dubai,Trade Centre,1422.0,8.2,3.4,Superior Double Room,1422.0,355.5,0.0
Panoramic Sea Views Studio Apartment - Marina Dubai,Dubai Marina,824.0,7.1,18.4,One-Bedroom Apartment,824.0,206.0,0.0
Breathtaking 1 Bed Room With Full Burj Khalifa and Fountain View- Burj Crown,Downtown Dubai,921.0,10.0,350.0,One-Bedroom Apartment,921.0,230.25,0.0
Savoy Suites Hotel Apartment - Newly Renovated,Bur Dubai,897.0,8.4,7.0,Studio Suite - Free Bus service to La Mer Beach at Jumeirah with Beach Mats & Beach Towels,897.0,224.25,0.0
Canal Central Hotel Business Bay,Business Bay,1018.0,8.6,1.8,Superior Room City View with free access to Hotel's private beach at Palm - Jumeirah,1018.0,254.5,0.0
The Boulevard Suite Luxury near Burj Khalifa,Downtown Dubai,2202.0,10.0,350.0,One-Bedroom Apartment with Balcony and City View,2202.0,550.5,0.0
Park Regis by Prince Dubai Islands,Palm Deira,933.0,7.9,13.4,Standard Queen Room,1278.0,233.25,27.0
Hotel Indigo Dubai Downtown by IHG,Business Bay,1763.0,8.8,1.4,Standard King Room with City View,1763.0,440.75,0.0
Jumeirah Living World Trade Centre Dubai,Trade Centre,2102.0,8.6,4.0,One-Bedroom Residence with Private Jacuzzi,2102.0,525.5,0.0
"Luxury Apt Burj Khalifa, Sunset and Lagoon view",Dubai,2210.0,10.0,4.1,One-Bedroom Apartment,2210.0,552.5,0.0
Azizi Riviera Meydan,Dubai,752.0,10.0,4.3,One-Bedroom Apartment,752.0,188.0,0.0
Park Hyatt Dubai,Deira,3152.0,9.1,8.2,King Room,3152.0,788.0,0.0
Benitah Family and Shared rooms Al Nahda 2,Al Qusais,136.0,9.1,14.1,Economy Quadruple Room with Shared Bathroom,151.0,34.0,9.93
Dimorelux,Palm Jumeirah,1603.0,8.3,15.9,One-Bedroom Apartment,1603.0,400.75,0.0
Millennium Central Downtown,Business Bay,1368.0,7.6,1.7,Standard King Room,1368.0,342.0,0.0
Graceful 1BR at Merano Business Bay by Deluxe Holiday Homes,Business Bay,892.0,7.6,1.7,One-Bedroom Apartment,892.0,223.0,0.0
Aloft Dubai Airport,Garhoud,700.0,8.5,9.5,Aloft King Room - Complimentary DXB Airport Shuttle Drop Off,700.0,175.0,0.0
Highest Infinity Pool Burj Khalifa View,Business Bay,2149.0,8.5,0.8,One-Bedroom Apartment,2149.0,537.25,0.0
2BR + Maid With Fantastic View,Trade Centre,2398.0,9.6,1.7,Three-Bedroom Apartment,2398.0,599.5,0.0
Prime Gardens,Al Barsha,675.0,9.5,15.2,Two-Bedroom Apartment,675.0,168.75,0.0
2 bedroom with maid Exclusive Burj Khalifa View,Trade Centre,3103.0,9.1,1.7,Three-Bedroom Apartment,3103.0,775.75,0.0
"Business-Ready Executive Studio with Burj View, Upside Living 2001",Business Bay,1281.0,9.1,2.1,Studio Apartment,1281.0,320.25,0.0
Jumeirah Beach Residence,Jumeirah Beach Residence,443.0,9.1,19.2,One-Bedroom Apartment,443.0,110.75,0.0
Mövenpick Hotel Jumeirah Lakes Towers Dubai,Jumeirah Lakes Towers,1287.0,8.5,19.7,Superior Twin Room - Includes daily access to Riva Beach Club with free shuttle service,1287.0,321.75,0.0
"Lapita, Dubai Parks and Resorts, Autograph Collection",Dubai World Central,1447.0,8.6,41.2,"Room with Theme Park Access, Guest room, 1 King, Resort view (Complimentary Beach Access to Sheraton JBR and Shuttle to MOE & Dubai Mall)",1447.0,361.75,0.0
Superb 1Bed Marina View pool JBR Beach Parking,Dubai Marina,1655.0,7.9,19.8,One-Bedroom Apartment,1655.0,413.75,0.0
Airstay - Chic Studio - Marina View - Dubai Marina - Monthly Offer Available,Dubai Marina,1275.0,10.0,18.8,Studio,1275.0,318.75,0.0
2BR with Mini-Golf in DT Dubai with Partial Burj Khalifa View,Downtown Dubai,4034.0,9.6,350.0,Two-Bedroom Apartment,4034.0,1008.5,0.0
Asiana Grand Hotel,Deira,819.0,8.7,9.5,Deluxe King Room – Beach transfer & Free Shuttle to Deira city center mall,819.0,204.75,0.0
Carlton Downtown Hotel,Trade Centre,1774.0,8.5,1.6,Deluxe Room,1774.0,443.5,0.0
The St. Regis Downtown Dubai,Business Bay,2454.0,9.2,1.0,"Superior Double Room with Two Double Beds, Partial Burj Khalifa or Downtown View including Signature St. Regis Butler Service",2454.0,613.5,0.0
Great View from 63th Floor! Amazing Pool with Burj View! Grande Signature!,Dubai,3408.0,9.2,20.0,Two-Bedroom Apartment,3408.0,852.0,0.0
Swissôtel Al Murooj Dubai,Trade Centre,1548.0,8.8,1.0,Classic King Room,1548.0,387.0,0.0
MAZMI CASA,Bur Dubai,1499.0,9.4,8.1,Deluxe Double or Twin Room with River View,1499.0,374.75,0.0
Frank Porter - Bayz Tower by Danube,Business Bay,591.0,6.4,1.7,Apartment,591.0,147.75,0.0
InterContinental Residence Suites Dubai Festival City by IHG,Dubai Festival City,1417.0,8.8,8.5,King Studio Suite,1417.0,354.25,0.0
Royal suites Dunya tower Burj Khalifa St Kings,Downtown Dubai,1619.0,9.2,1.1,Superior King Room,1619.0,404.75,0.0
DAMAC Maison Mall Street,Downtown Dubai,2749.0,9.0,1.2,One Bedroom City View King with kitchenette and Private Balcony,2749.0,687.25,0.0
Grandeur Hotel Al Barsha,Al Barsha,882.0,7.8,11.8,Executive Room,882.0,220.5,0.0
Avani Deira Dubai Hotel,Deira,1006.0,7.8,10.2,AVANI Room,1006.0,251.5,0.0
Classy 1BR at Bayz by Danube Business Bay by Deluxe Holiday Homes,Business Bay,1038.0,9.0,1.7,One-Bedroom Apartment,1038.0,259.5,0.0
White Sage Spacious 1BR at Marina Promenade,Dubai Marina,1059.0,9.4,19.4,One-Bedroom Apartment,1177.0,264.75,10.03
Mövenpick Grand Al Bustan,Garhoud,909.0,8.3,9.3,"Classic King Room, 20% off on F&B, Complimentary shuttle to Dubai Festival City Mall",3029.0,227.25,69.99
Hyatt Regency Creek Heights Residences,Bur Dubai,1634.0,8.9,6.7,Studio with Kitchen,1634.0,408.5,0.0
Mövenpick Hotel Apartments Al Mamzar Dubai,Deira,738.0,7.4,13.4,Superior King Room,738.0,184.5,0.0
"3BR with Gaming Lounge, Burj Khalifa, Fountain View",Downtown Dubai,4862.0,9.5,300.0,Three-Bedroom Apartment,5402.0,1215.5,10.0
Jannah Place Dubai Marina,Dubai Marina,1151.0,7.8,19.8,Studio Apartment,1151.0,287.75,0.0
Knight Armour Hotel,Deira,460.0,6.6,8.9,Deluxe Single Room with 20% discount on F&B,460.0,115.0,0.0
"Citadines Culture Village Dubai, Waterfront Jaddaf",Bur Dubai,899.0,8.7,7.5,Standard Room with and without Balcony (Main Road),899.0,224.75,0.0
La Quinta by Wyndham Dubai Jumeirah,Bur Dubai,813.0,7.9,6.1,"Deluxe Room, 2 Twin Beds - Complimentary Transfer to La Mer Beach, Dubai Mall / Burj Khalifa Metro Station",813.0,203.25,0.0
SIRO One Za'abeel,Trade Centre,2321.0,8.9,4.1,"SIRO Plus King, complimentary fitness class and nutrition consultation",2901.0,580.25,19.99
DoubleTree by Hilton Dubai Jumeirah Beach,Jumeirah Beach Residence,1748.0,8.5,20.0,One-Bedroom Suite - City View,1748.0,437.0,0.0
"Executive Studio at Upside Living, Business Travel Ready",Business Bay,1281.0,10.0,2.1,Studio,1281.0,320.25,0.0
Awesome Studio Apartment with Burj Khalifa View at Business Bay,Business Bay,753.0,10.0,1.7,Studio Apartment,753.0,188.25,0.0
Hyba Heritage Hotel,Deira,382.0,8.0,8.4,Deluxe Suite,382.0,95.5,0.0
"Radisson Blu Hotel, Dubai Deira Creek",Deira,1248.0,8.4,8.6,"Standard Room with Balcony and Creek View - includes Complimentary Shuttle to Kite Beach, Dubai Mall / Burj Khalifa",1248.0,312.0,0.0
The H Dubai,Trade Centre,1381.0,8.8,4.1,Deluxe Twin Room,1381.0,345.25,0.0
One bedroom apartment sea view partially,Jumeirah Beach Residence,1799.0,8.8,18.9,Apartment with Sea View,1799.0,449.75,0.0
"Beautiful 1BR Apartment at Wilton Park Residences, MBR by Deluxe Holiday Homes",Dubai,1383.0,8.8,4.3,One-Bedroom Apartment,1383.0,345.75,0.0
DAMAC Maison Canal Views,Business Bay,1889.0,9.3,1.4,Deluxe Room with kitchenette - City Skyline View,1889.0,472.25,0.0
"Azure - 1-Bed Luxury by Crystal Lagoon, Downtown",Dubai,723.0,9.3,2.9,One-Bedroom Apartment,723.0,180.75,0.0
Jumeirah Marsa Al Arab Dubai,Beach & Coast,7736.0,6.9,10.1,Marina Deluxe Room with Marina & Dubai Skyline View - includes Private Terrace (11 sqm),7736.0,1934.0,0.0
"Element Me'aisam, Dubai",Dubai Production City,750.0,8.8,19.0,"Studio Apartment – King Bed (Complimentary Breakfast & Shuttle to Sobha Realty Metro Station, JBR Beach & Mall of the Emirates)",750.0,187.5,0.0
Riviera Hotel,Deira,849.0,8.4,8.7,Standard Double Bed-Souk View with Balcony- Free Beach Transfer,1022.0,212.25,16.93
Best Western Plus Pearl Creek,Deira,587.0,7.5,8.7,Standard King Room,587.0,146.75,0.0
Elegant Studio w Balcony View near Downtown Dubai,Dubai,836.0,8.0,4.5,Studio,836.0,209.0,0.0
Retreat by Voye Homes inside Anantara with Resort Access & Private Beach in Palm Jumeirah,Palm Jumeirah,1469.0,8.5,14.2,One-Bedroom Apartment with Sea View and Balcony,1469.0,367.25,0.0
Millennium Lakeview Hotel Formerly Copthorne Lakeview Hotel,Dubai Investment Park,767.0,8.1,23.9,Superior King Room,767.0,191.75,0.0
Dubai Marine Beach Resort & Spa,Jumeirah,1180.0,8.4,4.4,Standard Room,1180.0,295.0,0.0
Urban Studio at The Address Residences Dubai Marina by Deluxe Holiday Homes,Dubai Marina,1184.0,10.0,18.7,Studio,1184.0,296.0,0.0
Al Manar Grand Hotel Apartment,Bur Dubai,525.0,7.9,6.4,Double Double Standard,525.0,131.25,0.0
Fairmont The Palm,Palm Jumeirah,2646.0,8.6,16.3,Fairmont Heritage King Room,2646.0,661.5,0.0
Atlantis The Royal,Palm Jumeirah,5258.0,9.2,16.0,Seascape King Room,5258.0,1314.5,0.0
Downtown Sky High Luxury Apartment I City And Sea Views I Opp Dubai Mall Burj Khalifa,Downtown Dubai,3549.0,8.7,300.0,Two-Bedroom Apartment,3549.0,887.25,0.0
Modern 1Br in the Heart of Dubai by SIMPLY COMFORT,Business Bay,2450.0,10.0,2.0,One-Bedroom Apartment,2450.0,612.5,0.0
XVA Art Hotel,Bur Dubai,769.0,8.8,8.1,Single Room,769.0,192.25,0.0
Large Studio Attached to Metro - Dubai Marina Diamond3,Dubai Marina,770.0,6.9,17.9,Studio Apartment with Balcony,770.0,192.5,0.0
Highest infinity Pool in Downtown Dubai,Business Bay,3027.0,8.9,0.8,Deluxe One-Bedroom Apartment,3027.0,756.75,0.0
Ibis Styles Dragon Mart Dubai,International City,417.0,7.7,15.0,Standard Twin Room,417.0,104.25,0.0
Alsahel Beach Holiday,Jumeirah Beach Residence,246.0,10.0,19.2,Single Bed in Dormitory Room,246.0,61.5,0.0
Unlock Waters Edge,Business Bay,1657.0,8.3,1.7,Studio with Canal View,1657.0,414.25,0.0
"Burj Crown - First Class Boulevard View, 9 min Walk Dubai Mall",Downtown Dubai,4101.0,9.1,250.0,Two-Bedroom Deluxe Apartment with Balcony,4101.0,1025.25,0.0
Majestic Cove Hotel - Formerly Le Méridien Fairway,Garhoud,1036.0,8.8,8.8,Deluxe King Room,1036.0,259.0,0.0
"Element Al Mina, Dubai Jumeirah",Bur Dubai,1136.0,8.6,6.1,Studio 1 King Bed - Complimentary Transfer to Dubai Mall / Burj Khalifa & DXB Airport Shuttle Drop Off,1136.0,284.0,0.0
Sea & Palm View 2BR JBR BeachGem,Jumeirah Beach Residence,4407.0,9.2,18.4,Two-Bedroom Apartment with Balcony and Sea View,4407.0,1101.75,0.0
Delano Dubai at Bluewaters,Beach & Coast,2911.0,8.9,19.7,Rising Light Twin Guest Room with Balcony and Resort View,2911.0,727.75,0.0
LUX 2BR close to Dubai Mall and Burj Khalifa,Downtown Dubai,6327.0,9.3,350.0,Two-Bedroom Apartment,6327.0,1581.75,0.0
Katkeys,Dubai,294.0,9.3,14.1,King Room with Balcony,368.0,73.5,20.11
Cozy 1-Bedroom Apartment at West Avenue Tower near Marina beach,Dubai Marina,1066.0,9.0,19.0,One-Bedroom Apartment,1066.0,266.5,0.0
New Fairmont Residence with private beach on PalmJumeirah,Palm Jumeirah,4915.0,9.0,16.2,Two-Bedroom Apartment with Balcony and Sea View,6143.0,1228.75,19.99
Luxury Business Bay Residence Z Tower,Business Bay,565.0,9.0,1.6,One-Bedroom Apartment,642.0,141.25,11.99
Brown Stone - Golf Course Dubai Cricket Stadium,Dubai,487.0,7.3,18.9,One-Bedroom House,487.0,121.75,0.0
City Seasons Hotel Dubai,Deira,725.0,8.0,9.2,Premium Twin Room,853.0,181.25,15.01
Royal Ascot Hotel,Bur Dubai,951.0,7.5,7.4,Superior Deluxe Room,951.0,237.75,0.0
Cozy Studio in JVC,Dubai,483.0,7.5,17.2,One-Bedroom Apartment,483.0,120.75,0.0
Majestic 1 Bedroom Flat Perfect for 4 in Marina,Dubai Marina,1129.0,8.4,19.0,Apartment,1129.0,282.25,0.0
Sonder at JBR The Walk,Jumeirah Beach Residence,2052.0,8.9,18.8,One-Bedroom Apartment with City View,2052.0,513.0,0.0
Magnificent 2BR in The Brand New The Diplomat,Dubai,1380.0,8.9,21.8,Apartment,1380.0,345.0,0.0
"Forte Tower - New Elite Opera View, Opposite Burj Khalifa and Dubai Mall",Downtown Dubai,6654.0,8.9,250.0,Deluxe Apartment,6654.0,1663.5,0.0
Dubai Marina larivera,Dubai Marina,3749.0,7.4,19.2,Two-Bedroom Apartment,3749.0,937.25,0.0
"Burj Crown - New Sky High, Near Burj Khalifa, Boulevard View, Opposite Dubai Mall",Downtown Dubai,5144.0,8.9,250.0,Deluxe Apartment,5144.0,1286.0,0.0
Hyatt Regency Dubai Creek Heights,Bur Dubai,1465.0,8.8,6.8,Deluxe King Room,1465.0,366.25,0.0
GLOBALSTAY J One Tower Apartments at Pearl of UAE,Business Bay,1684.0,7.8,1.5,Studio,1981.0,421.0,14.99
Jumeirah Living Marina Gate Dubai,Dubai Marina,1636.0,9.2,17.4,Executive Studio,1636.0,409.0,0.0
SIMPLY COMFORT Apartments at Nobles Tower Luxury Burj View,Business Bay,3991.0,9.6,2.1,Two-Bedroom Deluxe Apartment with Balcony,3991.0,997.75,0.0
"High-Rise Chic, Burj Crown, Opera Boulevard View, by Dubai Mall",Downtown Dubai,4142.0,8.6,300.0,Two-Bedroom Deluxe Apartment with Balcony,4142.0,1035.5,0.0
Studio in the heart of Sports City -great view & amenities!,Dubai,809.0,9.0,18.0,Studio Apartment,809.0,202.25,0.0
"Charming 1BR Apartment in Vera Tower, Business Bay by Deluxe Holiday Homes",Business Bay,921.0,9.0,1.4,One-Bedroom Apartment,921.0,230.25,0.0
Comfortable Studio Apartment for 4 in DIFC,Trade Centre,1066.0,9.0,1.6,Studio,1066.0,266.5,0.0
LUXE | 2BR | Burj Khalifa View | Dubai Mall Access,Zabeel,2988.0,9.0,1.1,Deluxe Apartment,2988.0,747.0,0.0
"Address Marina Mall Suites - Full Marina Views, Balcony, Kitchen & Parking",Dubai Marina,2213.0,7.2,18.7,Suite,2213.0,553.25,0.0
"Burj Khalifa Lake Vicinity Perfect 1BR Escape, Residences 7, Downtown Dubai by Deluxe Holiday Homes",Downtown Dubai,1233.0,9.0,400.0,One-Bedroom Apartment,1233.0,308.25,0.0
LUX 1BR Burj Khalifa and Fountain Views,Downtown Dubai,4781.0,9.5,350.0,One-Bedroom Apartment,4781.0,1195.25,0.0
"Lux Escape, Burj Crown Opera View, Near Dubai Mall",Downtown Dubai,4274.0,9.0,300.0,Two-Bedroom Deluxe Apartment with Balcony,4274.0,1068.5,0.0
TURQUOISE - Downtown Dubai 1 BEDROOM APARTMENT Business Bay - CANAL VIEW,Business Bay,934.0,8.4,1.4,One-Bedroom Apartment,934.0,233.5,0.0
"Charming 1BR Apartment in Sparkle Tower 1, Dubai Marina by Deluxe Holiday Homes",Dubai Marina,1757.0,8.4,19.7,One-Bedroom Apartment,1757.0,439.25,0.0
Address Beach Resort,Beach & Coast,4241.0,9.3,20.1,Deluxe Marina City View Room & World's Highest Infinity Pool Access,6058.0,1060.25,29.99
Nassima Tower Hotel Apartments,Trade Centre,1180.0,7.6,3.3,One-Bedroom Apartment,1180.0,295.0,0.0
"Charming Studio Apartment at Bay Square - 09, Business Bay by Deluxe Holiday Homes",Business Bay,937.0,7.6,1.4,Studio,937.0,234.25,0.0
Elegant 2 Bedroom Apartment in Sobha Hartland,Dubai,682.0,8.0,4.3,Two-Bedroom Apartment with Balcony,682.0,170.5,0.0
Burj Crown - Downtown Elegance Opera Boulevard View by Dubai Mall,Downtown Dubai,5314.0,8.8,250.0,Two-Bedroom Deluxe Apartment with Balcony,5314.0,1328.5,0.0
Jumeirah Beach Hotel Dubai,Umm Suqeim,2139.0,8.8,10.2,Ocean View Deluxe Room - includes Wild Wadi Waterpark™ and KiDS Club access,2139.0,534.75,0.0
3 Bed with Private Beach In Palm Jumeirah,Palm Jumeirah,5300.0,8.8,18.5,Three-Bedroom Apartment,6624.0,1325.0,19.99
Unbeatable Price Luxe 1BR in Prime Location by Deluxe Holiday Homes,Dubai Marina,1378.0,9.0,20.3,One-Bedroom Apartment,1378.0,344.5,0.0
Cozy urban stay near Dubai Mall,Dubai,744.0,10.0,4.9,One-Bedroom Apartment,744.0,186.0,0.0
Majestic Tower,Business Bay,787.0,10.0,1.5,One-Bedroom Apartment,787.0,196.75,0.0
Raffles The Palm,Palm Jumeirah,2414.0,9.0,18.9,Premier Ocean View Room With balcony,2414.0,603.5,0.0
"Beautiful 1BR Apartment in Harbour Gate 1, Dubai Creek Harbour by Deluxe Holiday Homes",Dubai Creek,1150.0,9.0,7.6,One-Bedroom Apartment,1150.0,287.5,0.0
Jumeirah Dar Al Masyaf Dubai,Al Sufouh,4464.0,9.3,11.3,Palm House Garden Room,4464.0,1116.0,0.0
Barceló Residences Dubai Marina,Dubai Marina,1519.0,8.4,18.1,Studio,1519.0,379.75,0.0
Lux Living on Palm Jumeirah With Pool & Beach Access,Palm Jumeirah,3806.0,6.7,16.1,Three-Bedroom Apartment,3806.0,951.5,0.0
Spacious Studio in Damac Maison Prive Canal Views,Business Bay,1265.0,9.0,1.2,One-Bedroom Apartment,1265.0,316.25,0.0
The Villa Jumeirah,Umm Suqeim,947.0,8.7,9.7,Studio with Garden View,947.0,236.75,0.0
Amazing 2 bedroom with full burj view,Downtown Dubai,5301.0,9.3,0.7,Two-Bedroom Apartment,5301.0,1325.25,0.0
Deluxe Villa Rooms in Dubai near Airport,Dubai,1799.0,7.9,17.1,King Room,1799.0,449.75,0.0
"La Buena Vida Holiday Homes - Exquisite Spacious Luxe 1BR Apt , Full Marina View, Kitchen, 5 Min to Beach, JBR and Marina",Dubai Marina,1717.0,9.5,19.6,One-Bedroom Deluxe Apartment,1717.0,429.25,0.0
Sofitel Dubai The Palm Resort & Spa,Palm Jumeirah,1965.0,8.6,15.4,Classic Room Courtyard View,1965.0,491.25,0.0
Bliss at the Fields,Dubai,4828.0,9.4,11.2,Villa,4828.0,1207.0,0.0
AlRaef Luxury Apartments,Deira,1988.0,6.4,12.0,One-Bedroom Premium Apartment,1988.0,497.0,0.0
White Sage - Premium Furnished Studio With Large Balcony,Business Bay,972.0,7.6,1.2,Studio,972.0,243.0,0.0
Elegant Villa Rooms in Dubai near Airport,Dubai,1799.0,7.5,17.1,King Room,1799.0,449.75,0.0
Al Ashrafia Saray - Extraordinary Studio in Canal View,Business Bay,939.0,7.5,1.4,One-Bedroom Apartment,939.0,234.75,0.0
Knokey Bay Square,Business Bay,852.0,9.0,1.4,One-Bedroom Apartment,852.0,213.0,0.0
Al Khoory Hotel Apartments Al Barsha,Al Barsha,798.0,8.6,12.2,Studio,798.0,199.5,0.0
Adagio Premium Dubai Al Barsha,Al Barsha,1006.0,8.3,12.5,One-Bedroom Apartment,1006.0,251.5,0.0
Upgraded Apartment with Stunning Burj Khalifa View,Downtown Dubai,4010.0,8.9,1.0,Two-Bedroom Apartment,4010.0,1002.5,0.0
Plush 1BR at Act One Act Two Tower 2 Downtown Dubai by Deluxe Holiday Homes,Downtown Dubai,1427.0,8.9,350.0,One-Bedroom Apartment,1427.0,356.75,0.0
Address Beach Residence,Jumeirah Beach Residence,13253.0,9.4,20.0,One-Bedroom Apartment,13253.0,3313.25,0.0
EasyGo - Azizi Riviera 15 Community View,Dubai,727.0,8.7,3.8,Studio with Balcony,727.0,181.75,0.0
Splendid Villa Rooms near Dubai Airport,Dubai,1893.0,6.5,14.2,King Room,1893.0,473.25,0.0
Frank Porter - 29 Boulevard,Downtown Dubai,1991.0,8.7,450.0,Apartment,1991.0,497.75,0.0
"Grosvenor House, a Luxury Collection Hotel, Dubai",Dubai Marina,1988.0,9.6,17.8,"Deluxe Room, With Complimentary Resort Beach & Pool Access, Guest room, 1 King",1988.0,497.0,0.0
SO/ Uptown Dubai,Dubai,1522.0,8.9,19.9,Collection King Room,1522.0,380.5,0.0
Splendid Apartments with Burj Khalifa and Fountain View,Downtown Dubai,5301.0,7.9,0.7,Three-Bedroom Apartment,5301.0,1325.25,0.0
"Cozy Apartment in JVC, Dubai",Dubai,871.0,9.0,16.8,One-Bedroom Apartment,871.0,217.75,0.0
Creek Beachfront Heaven: 1BR Luxe Harbor Flat,Dubai Creek,1470.0,10.0,7.7,One-Bedroom Apartment,1470.0,367.5,0.0
Vida Emirates Hills,Dubai,1248.0,9.1,17.4,City View Deluxe Room King,1560.0,312.0,20.0
SUHA Mina Rashid Hotel Apartments,Bur Dubai,789.0,8.6,6.7,Deluxe Studio,789.0,197.25,0.0
"Exclusive 1-BDR Stay - Zada Tower, Business Bay",Business Bay,628.0,8.6,1.6,One-Bedroom Apartment,628.0,157.0,0.0
Al Khoory Courtyard Hotel,Dubai,900.0,8.1,4.4,Superior Double or Twin Room,900.0,225.0,0.0
Luxury Studio - Downtown Dubai - Near Burj Khalifa,Business Bay,1460.0,10.0,1.2,One-Bedroom Apartment,1460.0,365.0,0.0
Luxe Comfort 1BR in Binghatti Venus-05,Dubai,920.0,10.0,17.6,One-Bedroom Standard Apartment,920.0,230.0,0.0
Welcoming Studio at Sky Gardens DIFC By Deluxe Holiday Homes,Zabeel,952.0,7.2,2.1,One-Bedroom Apartment,952.0,238.0,0.0
sand and beach haven at Ajman Corniche!,Dubai,1568.0,9.5,28.1,Two-Bedroom Apartment,1568.0,392.0,0.0
Peony Hotel,Dubai Investment Park,729.0,7.8,23.8,Double or Twin Room,729.0,182.25,0.0
"Chic 1BR in The Residence at Marina Gate 2, Dubai Marina by Deluxe Holiday Homes",Dubai Marina,1922.0,10.0,17.4,One-Bedroom Apartment,1922.0,480.5,0.0
Spacious Studio at Sky Gardens DIFC by Deluxe Holiday Homes,Zabeel,1016.0,10.0,2.1,Studio,1016.0,254.0,0.0
Jumeirah Al Naseem Dubai,Umm Suqeim,4888.0,9.1,10.8,Resort Deluxe & Wild Wadi Waterpark™ Access,4888.0,1222.0,0.0
Stunning 1 Bdr luxury residence at JVC,Dubai,1225.0,9.1,16.5,One-Bedroom Apartment,1225.0,306.25,0.0
Modern and Classic 1BDR In RP Heights Downtown,Downtown Dubai,804.0,5.0,1.2,One-Bedroom Apartment,804.0,201.0,0.0
Elite Byblos Hotel,Al Barsha,794.0,8.4,11.7,Classic King Room,794.0,198.5,0.0
Refined 1BR Retreat in The Point Tower - Marina,Dubai Marina,1129.0,8.4,19.6,Apartment,1129.0,282.25,0.0
Palazzo Versace Dubai,Bur Dubai,2857.0,8.8,7.8,Deluxe Versace Room with City View,2857.0,714.25,0.0
Holiday Inn Express Dubai Airport by IHG,Garhoud,806.0,8.1,10.2,Deluxe King Room - Non-Smoking,806.0,201.5,0.0
"Exclusive Studio at Sky Gardens, DIFC by Deluxe Holiday Homes",Zabeel,958.0,8.1,2.1,Studio,958.0,239.5,0.0
SUNRISE HOMES - Beautiful Marina Studio near JBR Beach,Dubai Marina,1108.0,8.0,17.8,One-Bedroom Apartment,1108.0,277.0,0.0
"Amwaj Rotana, Jumeirah Beach - Dubai",Jumeirah Beach Residence,1674.0,8.9,19.7,Newly Renovated - Sea View Room with Balcony - King Bed,1674.0,418.5,0.0
Palm Jumeirah - Luxe Infinity Pool I Direct Beach Access,Dubai,3994.0,8.9,16.3,One-Bedroom Superior Apartment,3994.0,998.5,0.0
Gulf Oasis Hotel Apartments Fz LLC,Barsha Heights (Tecom),899.0,8.2,14.8,Studio Apartment,899.0,224.75,0.0
Burj Khalifa view brand new luxury apartment Business Bay,Business Bay,942.0,8.2,2.1,Three-Bedroom Apartment,1108.0,235.5,14.98
Manzil - 1BR District One Residences with Beach & Lagoon Access,Dubai,1328.0,9.8,4.5,One-Bedroom Apartment,1328.0,332.0,0.0
ShoresInn - Waterfront in Heart of Dubai Marina,Dubai Marina,1539.0,9.0,18.6,One-Bedroom Apartment,1539.0,384.75,0.0
"Modern Studio, Burj Views - Business Travelers",Business Bay,1349.0,9.0,2.1,Queen Studio,1349.0,337.25,0.0
Fabulous 1-Bedroom Apartment Near JBR in Dubai Marina,Dubai Marina,1442.0,9.3,17.4,One-Bedroom Apartment,1442.0,360.5,0.0
Staycae Holiday Homes - Aykon C,Business Bay,1499.0,7.6,2.6,Studio,1499.0,374.75,0.0
Situated On the Famous JBR With Direct Beach Access,Jumeirah Beach Residence,1756.0,7.6,18.9,Apartment,1756.0,439.0,0.0
Delightful 2BR apartment at Reva Residences,Business Bay,2262.0,8.7,1.3,Two-Bedroom Apartment,2262.0,565.5,0.0
